Name,Status,List Builder,C. Manager,CSM,Seller,Execution Timeline - Start,Execution Timeline - End,Total Budget,Executed Amount,Executed Take Rate %,Company,# Influencers,# UGC,Internal Handbook,Live Report,Musical Genre,Audience Country,Números,Creative Hashtags,Influencers Budget,Sub-Campaign Budget,Take Rate %,Client Handbook,# Tiktoks,# IG Reels,# IG Posts,# IG Stories,# Youtube,# Streams (Twitch/Kick),Currency,POs/Invoice,# Execution Adjustments,Execution Adjustments Reasons,# Proposal Adjustments,Proposal Adjustments Reasons,PDF Presentation,Proposal,Music List Type,Last Updated,Deal Created Date,Proposal Board Start Date,Building Proposal Start Date,Pending Approval Start Date,Execution Board Start Date,Ongoing Start Date,Building Reports Start Date,Completed Date,Proposal Timeline - Start,Proposal Timeline - End,Subelementos LWT Status,# Posts,# Published,% Progress,Views,Engagement,CPM,CPE(mile),ER%,Seller ID,CSM ID,Hubspot ID,Campaign ID,US List URL,Creative URL,Brief URL,monday Doc v2
"Manuel Turizo ""Por un pendejo""",Recently Completed,valentina.semprun@influur.com,Camila Palacio Torne,Camila Parra,Steven Campos,1/16/2026,1/31/2026,10000,7450,25.5%,Sony Music Latin,9,,https://docs.google.com/spreadsheets/d/1bnbf2gRp_MdbDMkaaC9DSnLtMh5qCTldL_7on4AMKh8/edit?usp=sharing,https://music.influur.com/promote/c7cf862d-fc4a-448e-bbdb-c0a11001d684/share?token=DzDyJKMVsFpZ_q4a9DJ57zNnGifkpL02ZQZWVTbiPag,Reggaeton,"MEX, ESP",,POV,7500,0,25,,9,0,0,0,0,,USD,,,,,,,,,"Juan Meza Feb 7, 2026 5:01 PM",2025-11-21,,2025-11-21,2025-11-21,2025-12-17,2026-01-16,2026-02-02,,,,"8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",9,9,100%,2274187,165010,4.4,61,7.3,189598736,79730684,49904930370,5854,,,,
Clarent x Bad Bunny “Bienvenida” Social Spread,Recently Completed,valentina.semprun@influur.com,Margarita Cárdenas,Camila Parra,Steven Campos,2/2/2026,2/2/2026,8000,2500,68.75%,Warner Music Latina Inc.,12,,https://docs.google.com/spreadsheets/d/17-GLoh65_xpR7H_9OBrBj0rwbLW_egY7PXPBsoZlyAg/edit?usp=sharing,https://music.influur.com/promote/019c29fe-61a8-77f9-a7f1-f56720fb399d/share?token=FNQf6l1wtenCjHnelCi8m7pQzW_FPONmoUhpM3bv1lE,Reggaeton,,,,6400,0,20,,0,7,0,0,0,,USD,,,,,,,,,"Esteban Calderon Feb 6, 2026 4:00 PM",2026-02-03,,2026-02-03,2026-02-03,2026-02-03,2026-02-03,2026-02-05,,,,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",7,7,100%,,,,,,189598736,79730684,55396676973,6053,,,,
The Clash ’Should I Stay Or Should I Go’ LATAM Campaign,Recently Completed,Genesis Martinez,Sol Gallelli,,Justin Nho,1/12/2026,2/5/2026,5000,5062,-1.24%,Sony Music Entertainment UK Ltd.,6,78,https://docs.google.com/spreadsheets/d/1Xchcwvszc8RUSwDx1RCKCm4x2-3QFbmMeLNbhAcx27A/edit?usp=sharing,https://music.influur.com/promote/45c1f814-dd6e-4201-9c74-90edd1271190/share?token=oeknjChoLV2u7k5CJWBOgx1ygqg1QyfZSRmjT4SeYXM,Rock,"BR, ARG, MX, CHL",,"TREND, Edit",3750,0,25,https://docs.google.com/spreadsheets/d/1kUUN4IzbywTn_2ltgOdvFlVMlA1Kp_F5NRG0LWLsoxk/edit?usp=sharing,11,0,0,0,0,,GBP,,,,,,,,,"Juan Meza Feb 7, 2026 5:03 PM",2026-01-07,,2026-01-07,2026-01-09,2026-01-12,2026-01-12,2026-02-06,,,,"9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed",11,11,100%,3765288,527501,1.3,9,14,1003108766,,53385896265,5935,,,,
"Tokischa ""Ridin"" Dance Class Miami | MX",Recently Completed,valentina.semprun@influur.com,Margarita Cárdenas,Camila Parra,Steven Campos,2/3/2026,2/5/2026,3250,2400,26.15%,Warner Music Mexico,2,,https://docs.google.com/spreadsheets/d/1EQU4WM6ARmyxD3QIYc-jHSlb62YYOW0SuRWDvWYieMc/edit?usp=sharing,https://music.influur.com/promote/019c2f58-4f28-70b7-af4a-d945ac1328a3/share?token=sqHt0SvAfDMl9UsfCj8LG9WFSOo4dWvirkdfI_YYIQA,trap latino,,,,2437.5,0,25,,2,0,0,0,0,,USD,,,,,,,,,"Juan Meza Feb 7, 2026 5:03 PM",2026-02-03,,,,2026-02-03,2026-02-03,2026-02-06,,,,"8 - Completed, 8 - Completed",2,2,100%,647385,100098,5,32,15.5,189598736,79730684,55475164440,6062,,,,
"Tokischa ""Ridin"" Dance Class Miami""",Recently Completed,Genesis Martinez,Margarita Cárdenas,Camila Parra,Steven Campos,2/2/2026,2/2/2026,6000,4350,27.5%,Warner Music Latina Inc.,10,,https://docs.google.com/spreadsheets/d/1dsS0fuJA9zgZipMqddSPsbH7P_HClQrvJuXSb5llPUg/edit?gid=1834453721#gid=1834453721,https://music.influur.com/promote/019c3392-ee02-76b3-8fb1-7cd74afb0f95/share?token=lmlM84ME8Ny81ppEjATtSzZPRkVZcwV2LW170CGzTf4,trap latino,US Latin,,,4500,,25,,0,7,0,0,0,,USD,,,,2,,,,,"Federico Endrek Feb 8, 2026 9:50 AM",2026-01-26,,2026-01-26,2026-01-27,2026-02-02,2026-02-02,2026-02-08,,,,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",7,7,100%,,,,,,189598736,79730684,54615981987,6051,,,Sneak peek: https://vt.tiktok.com/ZS912rMVhyo7R-O1cuf/,
"Kenia Os ""Belladona"" Sony MX",Recently Completed,Genesis Martinez,Carolina Anaya,Polina Andrieieva,Steven Campos,1/27/2026,2/9/2026,2900,3270,-12.76%,Sony Music Mexico,3,,https://docs.google.com/spreadsheets/d/1Bh54nOcARsJobUuwgKKGSDkW_iecPYsDphAj6RgPo6Q/edit?usp=sharing,"influur | Kenia Os ""Belladona"" Sony Mex - https://music.influur.com/promote/07f5f974-7ced-457c-8738-5e37af8a4798/share?token=sP2Kxa0gffBR_9dY1cFh2adwWgvT7Ym0-Td8XT3ix5g",Pop,MEX,,Lip-sync,2320,0,20,,0,4,0,0,0,,USD,,,,,,,,,"Carolina Anaya Feb 9, 2026 2:13 PM",2026-01-21,,2026-01-20,2026-01-21,2026-01-27,2026-01-27,2026-02-09,,,,"1 - Sent, 8 - Completed, 9 - Canceled, 9 - Declined, 8 - Completed, 3 - In Progress",4,2,50%,,,,,,189598736,414817948,54277379201,6011,,,,
Jheral - LUCURA,Recently Completed,Genesis Martinez,"Sol Gallelli, Juan Meza",Polina Andrieieva,Steven Campos,1/26/2026,2/9/2026,5000,2350,53%,"KRMA, LLC",6,,https://docs.google.com/spreadsheets/d/1HhBjiABMOvOAnv41gxa9LqW5rlQuCkc-d8xsM8PNoIw/edit?usp=sharing,https://music.influur.com/promote/bfe899ff-95b0-43a0-a9a1-03aca7499ef9/share?token=lBEOT7buOTyzLdnMiieJnVm7E1QQ0vISO9Bli2KQ3YM,"Reggae, Afrobeat",colombia,,"Reviewers, Review",3750,0,25,https://docs.google.com/spreadsheets/d/1iHP8gtiR-LFGYyI4PulNiJ0Eg-yO6s11A10UZszLybg/edit?usp=sharing,7,0,0,0,0,,USD,,,,3,,,,,"Federico Endrek Feb 10, 2026 8:42 AM",2026-01-12,,2026-01-12,2026-01-13,2026-01-26,2026-01-26,2026-02-10,,,,"8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",7,7,100%,,,,,,189598736,414817948,53696112204,6007,,,https://drive.google.com/file/d/1g0w8CPpQHly2YJSkeqnJSRQIwDH2ukYO/view?usp=drivesdk,
Morat - “Sin Ti” 💔,Completed,valentina.semprun@influur.com,Paola Benítez,Polina Andrieieva,Steven Campos,9/9/2025,9/27/2025,7000,3442,50.83%,XYZ,7,,https://docs.google.com/spreadsheets/d/1NEhivCH-_tmWSHvjlldnApK-BfodjkrvFkGKOD-n_xU/edit?usp=sharing,"Morat ""Sin Ti"" Phase 1 | Influur - https://dashboard.influur.com/client/morat-sin-ti-phase-1--69005-147",Pop,"MEX, CHI, COL",,POV,7000,,,https://docs.google.com/spreadsheets/d/1EPcokpeaT1YF-0B6rZC5xhM0xx4TFyOxobIlQVDTBcU/edit?usp=sharing,7,0,0,0,0,,USD,,,,,,,,,"Juan Meza Sep 30, 2025 4:10 PM",2025-09-01,2025-09-01,2025-09-01,2025-09-01,2025-09-10,2025-09-10,2025-09-27,2025-09-29,9/1/2025,9/1/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 4 - Waiting Draft, 9 - Declined, 9 - Canceled, 9 - Canceled, 4 - Waiting Draft, 4 - Waiting Draft",7,4,57.14%,1300000,218000,5.4,32,16.8,189598736,414817948,9943936160,,,,,
BLACKPINK - JUMP,Completed,Genesis Martinez,Carolina Anaya,,No asignado,8/21/2025,9/26/2025,30000,23625,21.25%,"Meta Platforms, Inc.",18,,https://docs.google.com/spreadsheets/d/1F3YafKvdLE_KcDHb-OtZlvGylChTLX2vhCimnqlA3mE/edit?gid=658587780#gid=658587780,"influur | Blackpink ""Jump"" - https://music.influur.com/promote/3ebb7f1d-e82e-4a16-888b-9df1e4ec8e78/share?token=1ykaahfT0Js9h44eAxqEocoAMJi-y9LRRpZgMpts1-c",K Pop,"US, Korea",,Dance,30000,,,,0,20,0,0,0,,,,,,1,,,,,"Juan Meza Sep 30, 2025 4:11 PM",2025-08-08,2025-08-08,2025-08-08,2025-08-21,2025-08-21,2025-08-21,2025-09-26,2025-09-29,8/8/2025,8/12/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",20,20,100%,2274912,130087,13.2,231,5.7,,,,,,,,
Eros Ramazzotti “Mi día Preferido“,Completed,Genesis Martinez,Genesis Martinez,,Steven Campos,9/10/2025,9/19/2025,4250,3150,25.88%,Sony Music Mexico,4,,https://docs.google.com/spreadsheets/d/10uki76gIVV_j9sqss1Xk0hENOFhPMPLy-QIqiACJKHY/edit?usp=sharing,https://music.influur.com/promote/60bef725-602c-4a98-807d-a25d34bf752d/share?token=rj_erBeAUOX91UXDnPxCPWm3u3NK3xp6MIxZKwgezDk,Balada Pop,MEX,,Lip-sync,4250,,,,0,0,4,0,0,,USD,,,,2,,,,,"Juan Meza Nov 1, 2025 8:38 AM",2025-08-19,2025-08-19,2025-08-19,2025-08-29,2025-09-10,2025-09-10,2025-09-22,2025-09-28,8/20/2025,8/20/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",4,4,100%,71345,12931,59.6,329,18.1,189598736,,9853273412,,,,,
Alex Sensation “La Depre”,Completed,valentina.semprun@influur.com,"Sol Gallelli, Camila Pedroza",Polina Andrieieva,Steven Campos,9/19/2025,9/29/2025,5000,3550,29%,The Hachar Law Group,8,50,https://docs.google.com/spreadsheets/d/1LrzzccPqg6J0qdiqPuhthNSeZdqcj445xHovljZDIcc/edit?usp=sharing,https://music.influur.com/promote/57dc5baa-31a5-4419-af16-807baf9a64e0/share?token=T0Qn5O64rCJdNd3vybgYVdijoB7ONCDesHbjCV3ZkR4,Urbano,LATAM,,Lip-sync,5000,,,https://docs.google.com/spreadsheets/d/1WZEONlZn4XHjZ4Oa9I0yQ1puNGH6GoWHVMCXdTRYnRI/edit?usp=sharing,9,0,0,0,0,,USD,,,,,,,,,"Juan Meza Oct 14, 2025 8:01 AM",2025-08-26,2025-08-26,2025-08-26,2025-08-26,2025-09-19,2025-09-26,2025-09-26,2025-09-30,8/26/2025,8/26/2025,"8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 9 - Canceled, 8 - Completed",9,9,100%,699430,78799,7.1,63,11.3,189598736,414817948,9903404173,,,,,
"Cuco ""Sin Un Corazón"" ❤️‍🔥",Completed,valentina.semprun@influur.com,Paola Benítez,Polina Andrieieva,Steven Campos,8/30/2025,9/18/2025,5000,4310,13.8%,XYZ,10,,https://docs.google.com/spreadsheets/d/1lHA_gJLmzXEI-LTED6SarQuHNp5QQlFp4YtpZ5vd3rA/edit?usp=sharing,"Cuco - ""Sin Un Corazón"" | Influur - https://dashboard.influur.com/client/cuco---sin-un-coraz%C3%B3n-31640-147",Alternativo,"MEX, US LATIN",,"POV, Lip-sync",5000,,,https://docs.google.com/spreadsheets/d/18t4UbFu7Hdu9UrkPXj-sMfpqHo_MDTVDTv1Omgz6qpE/edit?usp=sharing,10,0,0,0,0,,USD,,,,,,,,,"Juan Meza Sep 30, 2025 4:17 PM",2025-08-29,2025-08-29,2025-08-29,2025-08-29,2025-08-30,2025-09-01,,2025-09-26,8/29/2025,8/29/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 4 - Waiting Draft, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled",10,9,90%,2000000,129000,2.5,39,6.5,189598736,414817948,9930120510,,,,,
"Myke Towers ""Degenere"" @azulguaita",Completed,,camila.parra@influur.com,,Steven Campos,,,3125,2500,20%,Warner Music Mexico,1,,https://docs.google.com/spreadsheets/d/1YaUcjnofuppLqXZJJAA7vEvjKDrzHyWEkmkSinpJnrI/edit?usp=sharing,,Reggae,MEX,,Dance,3125,,,,1,0,0,0,0,,,,,,,,,,,"Esteban Calderon Sep 30, 2025 5:52 AM",2024-11-26,,,,2025-04-28,,,,11/26/2024,11/26/2024,8 - Completed,1,1,100%,,,,,,189598736,,,,,,,
"Danna ""Khe Calor""",Completed,valentina.semprun@influur.com,Mauricio Mitchel Bonilla Medina,,Steven Campos,9/13/2025,9/21/2025,4500,3250,27.78%,Universal Music Latin,3,,https://docs.google.com/spreadsheets/d/1LpMR54B_XU3VlXk698zuzAGaQifTe-4rYLJlYR5umoQ/edit?usp=sharing,"influur | Danna ""Khe Calor"" - https://music.influur.com/promote/d45ba368-8748-4228-a7cd-18810077faac/share?token=pJ-ePvykrk63ri1gRFv6spF4eL7VyryZat5V4TobHig","retro, Reggaeton, pop latino","US LATIN, UK, BR, US",,"TREND, Dance",4500,,,,3,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 6, 2025 9:57 AM",2025-08-12,2025-08-12,2025-08-12,2025-08-12,2025-08-13,2025-08-13,2025-09-24,2025-09-24,8/13/2025,8/13/2025,"9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",3,3,100%,2420208,75080,1.9,60,3.1,189598736,,9802306880,,,,,
Plan Fiestas Patrias Filtr,Completed,Juan Val,Camila Palacio Torne,Polina Andrieieva,Steven Campos,9/11/2025,9/20/2025,2650,1900,28.3%,Sony Music Mexico,4,,https://docs.google.com/spreadsheets/d/1nx2uW8nPaLm39nylCTz5u3GUPsYKC9lqcCyrUtfIoeg/edit?gid=969814598#gid=969814598,influur | Plan Fiestas Patrias Filtr - https://music.influur.com/promote/237ec986-8604-4f27-829c-0d65567ee16c/share?token=Nr9hHvCTAs_cNOS2R9mBIMDhbCpmCAd3jKKjqRzFAG8,Regional,MEX,,"Review, Reviewers, Explainers",2650,,,https://docs.google.com/spreadsheets/d/15FhD97bxxLYAhGFHgRKshfAcpmgexCuK1EbjaZ7beGU/edit?gid=1971037389#gid=1971037389,5,0,0,0,0,,USD,,,,,,,,,"Juan Meza Nov 1, 2025 8:59 AM",2025-09-05,2025-09-08,2025-09-05,2025-09-08,2025-09-11,2025-09-11,,2025-09-22,9/8/2025,9/8/2025,"8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",5,5,100%,1175987,19907,2.3,133,1.7,189598736,414817948,9984413285,,,,,
Alex Ponce x Zulia Reviewers,Completed,Juan Val,Mauricio Mitchel Bonilla Medina,Polina Andrieieva,Steven Campos,9/5/2025,9/16/2025,7000,3400,51.43%,NEON16 LLC,6,,https://docs.google.com/spreadsheets/d/1PENbKo3z3zPt4nWfhA-5m7kZai11MjuiU7GvIIw-nI4/edit?usp=sharing,influur | Alex Ponce x Zulia Reviewers - https://music.influur.com/promote/ff4b27df-45f4-4a3e-8d0f-3e0a86c158cd/share?token=qa6MOIEKpIk_tZplV-IWdP92AC_XGAlydgFyCVdyyGE,latin pop,"MEX, COL, ECU, ESP",,"Reviewers, Explainers, Review",7000,,,https://docs.google.com/spreadsheets/d/1WkKgHy5FaS17fJquNBEM-KbdCw3tObtvpwJ8tLewitc/edit?gid=1001992018#gid=1001992018,6,0,0,0,0,,USD,,,,,,Done,https://www.canva.com/design/DAGyCI3GXu0/fqyuxJTsohHKxZnsx6K2Bg/edit?utm_content=DAGyCI3GXu0&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Mauricio Mitchel Bonilla Medina Nov 7, 2025 3:12 PM",2025-09-04,2025-09-03,2025-09-04,2025-09-04,2025-09-08,2025-09-08,2025-09-17,2025-09-17,9/4/2025,9/4/2025,"8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",6,6,100%,194045,15514,36.1,451,8,189598736,414817948,9969011420,,,,,
Mecano | 7 de Septiembre,Completed,Genesis Martinez,maria.escobar@influur.com,,Polina Andrieieva,9/4/2025,9/11/2025,3500,1895,45.86%,InPulse Digital LLC,3,20,https://docs.google.com/spreadsheets/d/1UVDbmMbZ4z2lcZfbAFeVJC4_1zAUhc6dg9Ppn6Qosn4/edit?gid=286325811#gid=286325811,https://music.influur.com/promote/0149df3d-a7e1-4460-9ec1-5c5b1ea5a01d/share?token=UhBP2vDLXoiKz4aFqKv1jLQWq-kR0QnBZ7N8JEROgj8,Pop,"MEX, ESP, COL, CHI, PER",,recap,3500,,,,4,0,0,0,0,,USD,,,,,,,,,"Esteban Calderon Sep 30, 2025 6:19 AM",2025-07-22,2025-07-22,2025-07-22,2025-07-23,2025-09-02,2025-09-05,2025-09-12,2025-09-17,7/23/2025,7/23/2025,"8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed",4,4,100%,841917,73452,4.2,48,8.7,414817948,,9647347793,,,,,
"Brokix ""Ganjah""",Completed,Juan Val,Mauricio Mitchel Bonilla Medina,Camila Parra,Steven Campos,9/4/2025,9/22/2025,5000,3675,26.5%,Universal Music Latin,7,120,https://docs.google.com/spreadsheets/d/108gl3mWxcxxqMJJkitd0r9HmiOO6H2HS9w9yZ2L1_dk/edit?usp=sharing,"Influur | Brokix ""Ganja"" - https://music.influur.com/promote/ce691ff7-28c9-43c8-9ffb-aeb8e76d9cba/share?token=La0yGTdJjjVfIGmLRhoDjMO5MZZBUqzGxzQAnGGzSEs",Reggaeton,COL,,"lyrics, microsfiltrados",5000,,,https://docs.google.com/spreadsheets/d/1MIt_IxDy0jIeOD3Zr7ie4VRBLNymVJ0kF1vB6v21I-g/edit,8,0,0,0,0,,USD,,,,,,Done,https://www.canva.com/design/DAGx9MXPDfM/FG7ylj5Jm3OMi-HJFTzfBg/edit?utm_content=DAGx9MXPDfM&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Esteban Calderon Sep 30, 2025 6:24 AM",2025-09-03,2025-09-03,2025-09-03,2025-09-03,2025-09-04,2025-09-04,,2025-09-23,9/3/2025,9/3/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",8,8,100%,1396477,47450,3.6,105,3.4,189598736,79730684,9963720264,,,,,
"Eli Brown ""Papi""",Completed,valentina.semprun@influur.com,"Paola Benítez, Camila Palacio Torne",Polina Andrieieva,Steven Campos,9/3/2025,9/12/2025,640,552,13.75%,XYZ,2,,https://docs.google.com/spreadsheets/d/1UqDkj4OHSfneHjKzxnmedhblzn2HEaVYyzwZXUBT8Nw/edit?usp=sharing,https://music.influur.com/promote/23512056-d352-42db-96ba-809c1b98018f/share?token=s1hahUOPpBrPwKj2f77qH40id_xAgarAMwdcX6b2GhQ,Techno,"US LATIN, MEX",,"Lip-sync, POV",640,,,https://docs.google.com/spreadsheets/d/1kTCLe3EDRXzVsgFQifFapDnE6uv4Zx9KxLlKKbDttgw/edit?gid=214929912#gid=214929912,2,0,0,0,0,,USD,,,,1,,,,,"Esteban Calderon Sep 30, 2025 6:28 AM",2025-08-21,2025-08-21,2025-08-22,2025-08-28,2025-09-03,2025-09-03,,2025-09-15,8/25/2025,8/25/2025,"8 - Completed, 8 - Completed",2,2,100%,758173,97910,0.8,7,12.9,189598736,414817948,9874307571,,,,,
JerryDi x Hungry Post Miami,Completed,Genesis Martinez,Mauricio Mitchel Bonilla Medina,Camila Parra,Steven Campos,8/22/2025,8/25/2025,5300,3975,25%,Universal Music Latin,3,,https://docs.google.com/spreadsheets/d/1y3i-UFCDEYa_2B4Tl85mmhWkWem3tP4pFxsnx4w3BOw/edit?usp=sharing,Influur | JerryDi Hungry Post - https://music.influur.com/promote/fb08ecc6-2be4-494f-a8ca-6bbc8254b295/share?token=lXD3FdVvq2dZFs7X40Xg1ERyqRTPO0-s90t2ji3DBGc,Dembow,Miami,,presencial,5300,,,,3,0,0,0,0,,USD,,,,,,,,,"Esteban Calderon Sep 25, 2025 8:31 PM",2025-08-21,2025-08-21,2025-08-21,2025-08-22,2025-08-22,2025-08-22,2025-08-26,2025-08-27,8/21/2025,8/21/2025,"8 - Completed, 8 - Completed, 8 - Completed",3,3,100%,1302534,32800,4.1,162,2.5,189598736,79730684,9871170279,,,,,
Deftones - Social Spread,Completed,Genesis Martinez,maria.escobar@influur.com,,Steven Campos,8/22/2025,9/2/2025,3750,2800,25.33%,Warner Regional Latam,7,,https://docs.google.com/spreadsheets/d/1SOrRyWww9TIrdO_fVOwHcCid3awxxEt77fJOZTN4PAo/edit?gid=1178011464#gid=1178011464,https://music.influur.com/promote/ed44b1e6-2500-45c4-b4d6-ca50a57be993/share?token=S-zT9z3uhzigVGFrXbD9ugH0phBs-8-nNZhRAAi3JQY,Metal,"BR, ARG, MEX, CH",,SocialSpread,3750,,,,1,0,6,0,0,,USD,,,,3,,,,,"Esteban Calderon Sep 25, 2025 8:44 PM",2025-08-12,2025-08-12,2025-08-12,2025-08-21,2025-08-22,2025-08-22,2025-09-03,2025-09-10,8/12/2025,8/12/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed",7,7,100%,14339,12700,261.5,295,88.6,189598736,,9803901456,,,,,
"Luis R Conriquez ""Chula Vente"" META",Completed,valentina.semprun@influur.com,Carolina Anaya,,No asignado,8/21/2025,9/9/2025,20000,15000,25%,"Meta Platforms, Inc.",14,,https://docs.google.com/spreadsheets/d/1n9bLt4_4M8FXyRrTGzB91NiIUCAAGs52n5xm_oaovQk/edit?gid=658587780#gid=658587780,"influur | Luis R Conriquez ""Chula Vente"" META - https://music.influur.com/promote/18df72f2-9af3-4d8f-9187-e038d3e4919a/share?token=Z-HxACMRESYSZV4wabAx5CNFuaZgf16frOvnWP_7bP0",Reggaeton,"US LATIN, MEX",,"Lip-sync, POV",20000,,,,0,14,0,0,0,,,,,,,,,,,"Esteban Calderon Sep 25, 2025 8:53 PM",2025-08-13,2025-08-13,2025-08-13,2025-08-14,2025-08-21,2025-08-21,2025-09-09,2025-09-18,8/14/2025,8/14/2025,"8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",14,14,100%,12847537,457764,1.6,44,3.6,,,,,,,,
Emilia “Pasarella”,Completed,Genesis Martinez,Andres Ignacio Gomez,,Steven Campos,8/21/2025,9/12/2025,4650,2800,39.78%,"Sony Music Entertainment España, S.L.",4,,https://docs.google.com/spreadsheets/d/16_F8M797Rfxrmv0k2gKkH327bfn2o_BBQZ0YFwa6Nag/edit?gid=1834453721#gid=1834453721,https://music.influur.com/promote/10e729cd-0145-423c-b0ae-39c73c6b370c/share?token=aGkVE0yZ8WAXUR4mIh1fQ063VuCLLj76LpBarrld480,Urbano,ESP,,"Lip-sync, Fotos",4650,,,,4,0,0,0,0,,USD,,,,1,,,,,"Juan Meza Oct 14, 2025 9:54 AM",2025-08-19,2025-08-19,2025-08-19,2025-08-20,2025-08-21,2025-08-26,2025-09-13,2025-09-18,8/19/2025,8/19/2025,"9 - Canceled, 9 - Canceled, 9 - Canceled, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed",4,4,100%,677110,55786,6.9,83,8.2,189598736,,9849640039,,,,,
PALF 24 DE AGOSTO,Completed,Juan Val,maria.escobar@influur.com,,No asignado,8/20/2025,8/24/2025,0,5200,,"Hybe Latin America US, Inc.",4,,https://docs.google.com/spreadsheets/d/1XUFptgAAqqFbnyVhoQgrInJWTGfsQlu1g9GbiqXoo0c/edit?usp=sharing,https://music.influur.com/promote/bf4fcb87-da05-41f6-b8bb-4580a4015f84/share?token=GEapVhzLbQhHUkBes91D5X8EEP9CvJ0fwUygnlVtcZM,Banda Regional,MEX,,Explainers,0,,,,4,0,0,0,0,,,,,,,,,,,"Juan Meza Nov 27, 2025 4:49 PM",2025-08-22,,,,2025-08-22,2025-08-22,2025-08-25,2025-09-22,,,"8 - Completed, 9 - Declined, 9 - Canceled, 9 - Canceled, 9 - Declined, 9 - Declined, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed",4,4,100%,,,,,,,,,,,,,
"Camila Fernandez ""La Loca Era Yo""",Completed,Genesis Martinez,Mauricio Mitchel Bonilla Medina,,Steven Campos,8/19/2025,9/10/2025,11000,8210,25.36%,Universal Music Latin,6,,https://docs.google.com/spreadsheets/d/1K0mK-OuZPjZYlwYSNfNJevjWBxlVBh9IQoPrHwiW6T0/edit?usp=sharing,"Influur | Camila Fernandez ""La Loca Era Yo"" - https://music.influur.com/promote/867e3980-b4c1-4f95-ba32-62f56675ba1e/share?token=fIVkZuwN8lKGPMlfQyQXPOmBOtkjsHr48JCetnsZhkg",Regional,MEX,,"Lip-sync, POV, humor",11000,,,,0,6,0,0,0,,USD,,,,,,,,,"Esteban Calderon Sep 25, 2025 9:02 PM",2025-08-13,2025-08-13,2025-08-13,2025-08-14,2025-08-19,2025-08-19,2025-09-12,2025-09-13,8/13/2025,8/14/2025,"8 - Completed, 9 - Canceled, 8 - Completed, 8 - Completed, 8 - Completed, 8 - Completed, 9 - Canceled, 8 - Completed",6,6,100%,3927875,125399,2.8,88,3.2,189598736,,9811557788,,,,,
